ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: Features","Meta: Overview","Meta: _yoast_wpseo_title","Meta: _yoast_wpseo_metadesc","Meta: overview-heading","Meta: _overview-heading","Meta: col-1-image","Meta: _col-1-image","Meta: col-1-heading","Meta: _col-1-heading","Meta: col-1-desc","Meta: _col-1-desc","Meta: col-2-image","Meta: _col-2-image","Meta: col-2-heading","Meta: _col-2-heading","Meta: col-2-desc","Meta: _col-2-desc","Meta: col-3-image","Meta: _col-3-image","Meta: col-3-heading","Meta: _col-3-heading","Meta: col-3-desc","Meta: _col-3-desc","Meta: where_to_buy","Meta: _where_to_buy","Meta: _yoast_wpseo_content_score","Meta: _wpuf_form_id","Meta: _wpuf_lock_editing_post","Meta: _wpuf_res_display","Meta: _sub_allowed_term_ids","Meta: _wp_old_date","Meta: _yoast_wpseo_primary_product_cat","Meta: FAQ","Meta: custom_permalink","Meta: _yoast_wpseo_meta-robots-noindex","Meta: _yoast_wpseo_meta-robots-nofollow","Meta: Info","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _wpcom_is_markdown","Meta: overview","Meta: _yoast_wpseo_focuskw","Meta: _yoast_wpseo_linkdex"
10372,variation,,"New Brown Classic Plus - 9 Cuft",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,42500,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/vcm-brown-New.jpg,,,id:10070,,,"id:5273, id:5275",,,0,Size,"9 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10371,variation,,"New Golden Classic Plus - 9 Cuft",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,42500,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/VCM-golden-New.jpg,,,id:10075,,,"id:5273, id:5274",,,0,Size,"9 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10370,variation,,"New Silver Hair Line Classic Plus - 9 Cuft",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,42500,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Silver-hairline-VCM-New.jpg,,,id:10080,,,"id:5273, id:5274",,,0,Size,"9 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10369,variation,,"New Blue Hair Line Classic Plus - 9 Cuft",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,42500,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/blue-hairline-VCM-New.jpg,,,id:10085,,,"id:5274, id:5275",,,0,Size,"9 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10363,variation,,"New Golden Persona Plus - 9 Cuft",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,47000,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Golden.jpg,,,id:10050,,,"id:5272, id:5277",,,0,Size,"9 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10362,variation,,"New Maroon Persona Plus - 9 Cuft",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,,47000,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Plus-Maroon.jpg,,,id:10055,,,"id:5272, id:5277",,,0,Size,"9 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10361,variation,,"New Brown Persona Plus - 9 Cuft",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,47000,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-persona-brown.jpg,,,id:10060,,,"id:5272, id:5278",,,0,Size,"9 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10298,variation,,"Golden Classic Plus - 9 Cuft",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,42500,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Golden_Front_-1.jpg,,,id:5276,,,"id:5273, id:5274",,,0,Size,"9 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9997,variation,,"Glass Invertech Inverter Refrigerator - 13 Cuft",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,64500,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Mirror-2-copy.png,,,id:9993,,,,,,0,Size,"13 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9996,variation,,"Glass Invertech Inverter Refrigerator - 15 Cuft",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,71500,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Mirror-2-copy.png,,,id:9993,,,,,,0,Size,"15 Cuft",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
